user_id,total_participations,donation_events,charity_events,adoption_events,vaccination_events,days_since_last,avg_satisfaction,donated
1,8,3,2,2,1,5,4.5,1
2,2,0,1,1,0,45,3.0,0
3,12,5,3,2,2,3,4.8,1
4,1,0,0,1,0,90,2.5,0
5,6,2,2,1,1,12,4.2,1
6,3,0,1,1,1,30,3.5,0
7,15,7,4,2,2,2,4.9,1
8,1,0,0,0,1,120,2.0,0
9,9,4,2,2,1,7,4.4,1
10,2,1,0,1,0,60,3.2,0
11,11,5,3,2,1,4,4.7,1
12,4,1,1,1,1,25,3.8,1
13,0,0,0,0,0,180,0,0
14,7,3,2,1,1,10,4.3,1
15,1,0,1,0,0,75,2.8,0
16,10,4,3,2,1,6,4.5,1
17,3,0,1,1,1,40,3.3,0
18,14,6,4,2,2,3,4.8,1
19,2,0,0,1,1,55,2.9,0
20,8,3,2,2,1,8,4.4,1
21,3,2,0,1,0,20,3.5,1
22,1,0,0,1,0,100,2.2,0
23,13,6,3,2,2,4,4.7,1
24,2,1,0,1,0,50,3.1,0
25,9,4,2,2,1,9,4.5,1
26,0,0,0,0,0,200,0,0
27,6,2,2,1,1,18,4.1,1
28,3,1,1,1,0,35,3.6,0
29,11,5,3,2,1,5,4.6,1
30,1,0,0,0,1,85,2.4,0
31,7,3,2,1,1,11,4.2,1
32,4,1,1,1,1,28,3.7,1
33,16,8,4,2,2,2,4.9,1
34,2,0,1,1,0,65,3.0,0
35,10,4,3,2,1,7,4.5,1
36,3,0,1,1,1,42,3.4,0
37,12,5,3,2,2,4,4.7,1
38,1,0,0,1,0,95,2.3,0
39,8,3,2,2,1,9,4.3,1
40,5,2,1,1,1,20,3.9,1
41,0,0,0,0,0,150,0,0
42,9,4,2,2,1,6,4.4,1
43,2,0,0,1,1,70,2.7,0
44,14,6,4,2,2,3,4.8,1
45,4,1,1,1,1,32,3.5,0
46,7,3,2,1,1,12,4.2,1
47,1,0,0,0,1,110,2.1,0
48,11,5,3,2,1,5,4.6,1
49,3,1,0,1,1,38,3.4,0
50,15,7,4,2,2,2,4.9,1
51,3,3,0,0,0,15,3.5,1
52,2,2,0,0,0,25,3.2,1
53,4,3,0,1,0,18,3.6,1
54,3,2,1,0,0,30,3.4,1
55,2,2,0,0,0,40,3.0,1
56,5,3,1,1,0,12,3.8,1
57,3,3,0,0,0,22,3.3,1
58,4,2,1,1,0,28,3.5,1
59,3,2,0,1,0,35,3.2,1
60,2,2,0,0,0,45,2.9,1
61,6,3,1,1,1,10,4.0,1
62,4,2,1,0,1,20,3.7,1
63,3,2,1,0,0,38,3.3,1
64,5,3,1,0,1,15,3.9,1
65,4,3,0,1,0,25,3.6,1
66,3,2,0,0,1,32,3.4,1
67,2,2,0,0,0,50,2.8,1
68,6,4,1,0,1,8,4.2,1
69,4,3,0,1,0,22,3.7,1
70,3,2,1,0,0,42,3.1,1
71,5,4,0,1,0,12,4.0,1
72,4,3,1,0,0,18,3.8,1
73,3,3,0,0,0,28,3.5,1
74,2,1,0,1,0,60,3.0,0
75,1,0,1,0,0,80,2.5,0
76,2,0,1,1,0,55,2.8,0
77,3,0,2,1,0,48,3.0,0
78,1,0,0,1,0,92,2.3,0
79,4,0,2,1,1,35,3.2,0
80,2,0,0,2,0,65,2.7,0
81,3,0,1,1,1,50,2.9,0
82,5,0,2,2,1,40,3.3,0
83,2,0,1,0,1,72,2.6,0
84,4,1,1,1,1,45,3.4,0
85,3,0,1,2,0,58,2.8,0
86,1,0,0,0,1,100,2.2,0
87,6,1,2,2,1,38,3.5,0
88,2,0,0,1,1,78,2.5,0
89,4,0,2,1,1,52,3.1,0
90,3,0,1,1,1,62,2.7,0
91,5,1,2,1,1,42,3.4,0
92,2,0,1,1,0,85,2.4,0
93,4,0,1,2,1,55,3.0,0
94,3,1,1,0,1,68,2.9,0
95,6,1,2,2,1,45,3.3,0
96,2,0,0,1,1,90,2.3,0
97,5,1,1,2,1,48,3.2,0
98,3,0,2,0,1,75,2.6,0
99,4,0,1,2,1,58,2.8,0
100,2,0,1,0,1,82,2.5,0
